Bronx Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3039,61, ,C0, 2355 WASHINGTON AVENUE                    ,            ,10458,3,                         -  ,3,"1,638","3,240",2007, 1 , C0 ,                        -   ,4/19/2017
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3039,61, ,C0, 2355 WASHINGTON AVENUE                    ,            ,10458,3,                         -  ,3,"1,638","3,240",2007, 1 , C0 ," $350,000 ",6/27/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3041,8, ,C0, 446 CYRUS PLACE                           ,            ,10458,3,                         -  ,3,"2,320","2,008",1910, 1 , C0 ,                        -   ,10/12/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3044,51, ,C0, 1966 BATHGATE AVENUE                      ,            ,10457,3,                         -  ,3,"2,880","3,132",1910, 1 , C0 ,                        -   ,3/10/2017
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0, 2108 BATHGATE AVENUE                      ,            ,10457,3,                         -  ,3,"1,650","3,316",2005, 1 , C0 ," $600,000 ",3/28/2017
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3050,128, ,C0, 2263 BASSFORD AVENUE                      ,            ,10457,3,                         -  ,3,"1,250","2,730",2003, 1 , C0 ," $460,000 ",1/14/2017
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,120, ,C0, 504 EAST 184 STREET                       ,            ,10458,3,                         -  ,3,"1,334","2,936",2005, 1 , C0 ,                        -   ,9/1/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,121, ,C0, 506 EAST 184 STREET                       ,            ,10458,3,                         -  ,3,"1,269","2,936",2005, 1 , C0 ,                        -   ,9/1/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,121, ,C0, 506 EAST 184 STREET                       ,            ,10458,3,                         -  ,3,"1,269","2,936",2005, 1 , C0 ," $351,000 ",5/11/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,122, ,C0, 508 EAST 184 STREET                       ,            ,10458,3,                         -  ,3,"1,269","2,936",2005, 1 , C0 ,                        -   ,9/1/2016
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3036,35, ,V0, 2087 WASHINGTON AVENUE                    ,            ,10457,                         -  ,                         -  ,           -  ,"2,099",                  -  ,0, 1 , V0 ,                        -   ,7/13/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3031,19, ,C1, 2338 WEBSTER AVENUE                       ,            ,10458,8,                         -  ,8,"3,002","8,884",1931, 2 , C1 ," $1,315,000 ",9/19/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,53, ,C1, 4687 PARK AVE                             ,            ,10458,8,                         -  ,8,"4,025","9,600",1910, 2 , C1 ,                        -   ,5/31/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,58, ,C7, 413 EAST 187 STREET                       ,            ,10458,7,1,8,"3,325","8,800",1910, 2 , C7 ," $1,270,000 ",5/16/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3037,57, ,C1, 4464 PARK AVENUE                          ,            ,10457,13,                         -  ,13,"3,525","9,630",1910, 2 , C1 ," $1,980,000 ",4/6/2017
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3039,60, ,C1, 2357 WASHINGTON AVENUE                    ,            ,10458,12,                         -  ,12,"3,276","9,792",1911, 2 , C1 ," $1,875,000 ",4/6/2017
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,3039,67, ,C3, 461 EAST 185 STREET                       ,            ,10458,4,                         -  ,4,"2,500","3,786",1910, 2 , C3 ,                        -   ,6/30/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,3044,52, ,C3, 1968 BATHGATE AVENUE                      ,            ,10457,4,                         -  ,4,"1,387","2,550",1931, 2 , C3 ," $210,344 ",7/22/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,3044,52, ,C3, 1968 BATHGATE AVENUE                      ,            ,10457,4,                         -  ,4,"1,387","2,550",1931, 2 , C3 ," $660,365 ",6/10/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3047,1, ,C7, 485 EAST 180 STREET                       ,            ,10451,20,6,26,"3,372","18,279",1919, 2 , C7 ," $4,461,000 ",4/6/2017
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3048,20, ,C1, 2190 BATHGATE AVENUE                      ,            ,10457,7,                         -  ,7,"2,417","5,400",1931, 2 , C1 ," $880,000 ",12/21/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3053,71, ,C1, 471 EAST 184 STREET                       ,            ,10458,8,                         -  ,8,"2,090","6,267",2015, 2 , C1 ,                        -   ,8/24/2016
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3035,48, ,D4," 463 EAST 178TH STREET, 6E                 ",            ,10457,                         -  ,                         -  ,           -  ,              -  ,                  -  ,1935, 2 , D4 ," $40,000 ",4/17/2017
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3035,48, ,D4," 463 EAST 178TH ST, 6B                     ",            ,10457,                         -  ,                         -  ,           -  ,              -  ,                  -  ,1935, 2 , D4 ," $40,000 ",4/17/2017
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 E 178TH STREET, 2H                    ",            ,10457,                         -  ,                         -  ,           -  ,              -  ,                  -  ,1941, 2 , D4 ," $60,000 ",12/1/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2900,59, ,K5, 400 EAST TREMONT AVENUE                   ,            ,10457,                         -  ,2,2,"3,521","3,413",1925, 4 , K5 ,                        -   ,1/12/2017
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,28, ,K2, 1891 WASHINGTON AVENUE                    ,            ,10457,                         -  ,1,1,"1,858","3,198",1925, 4 , K2 ,                        -   ,7/6/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,29, ,K1, 1889 WASHINGTON AVENUE                    ,            ,10457,                         -  ,1,1,"1,451","1,451",1952, 4 , K1 ,                        -   ,7/6/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3030,156, ,K1, 2276 WEBSTER AVENUE                       ,            ,10457,                         -  ,2,2,"4,024","1,584",1931, 4 , K1 ,                        -   ,11/21/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3030,156, ,K1, 2276-80 WEBSTER AVE                       ,            ,10457,                         -  ,2,2,"4,024","1,584",1931, 4 , K1 ," $750,000 ",8/30/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3032,19, ,K4, 2458 WEBSTER AVENUE                       ,            ,10458,                         -  ,3,3,"8,774","15,500",1931, 4 , K4 ,                        -   ,8/2/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3043,84, ,K1, 505-507 EAST TREMONT AVENUE               ,            ,10457,                         -  ,2,2,"3,273","4,253",2005, 4 , K1 ," $1,625,000 ",6/28/2016
2,BATHGATE                 ,27  FACTORIES                               ,4,2899,29, ,F1, 405 EAST 174TH STREET                     ,            ,10457,                         -  ,1,1,"11,087","11,349",1930, 4 , F1 ," $1,800,000 ",4/21/2017
2,BATHGATE                 ,27  FACTORIES                               ,4,2924,30, ,F1, 4181 3 AVENUE                             ,            ,10457,                         -  ,1,1,"7,576","7,520",1954, 4 , F1 ,                        -   ,1/26/2017
2,BATHGATE                 ,27  FACTORIES                               ,4,3029,37, ,F5, 420 EAST 180TH                            ,            ,10457,                         -  ,1,1,"1,578","3,154",1997, 4 , F5 ," $375,000 ",12/14/2016
2,BATHGATE                 ,27  FACTORIES                               ,4,3044,73, ,F1, 4309 3 AVENUE                             ,            ,10457,                         -  ,1,1,"8,288","16,380",1931, 4 , F1 ," $3,000,000 ",1/19/2017
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2918,29, ,G7, 1885 BATHGATE AVENUE                      ,            ,10457,                         -  ,                         -  ,           -  ,"3,070",                  -  ,0, 4 , G7 ," $2,500,000 ",12/15/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3046,30, ,G7, 480 EAST 180 STREET                       ,            ,10457,                         -  ,                         -  ,           -  ,"3,804",                  -  ,0, 4 , G7 ," $295,000 ",7/26/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3051,34, ,V1, 4487 3 AVENUE                             ,            ,10457,                         -  ,1,1,"72,658",                  -  ,0, 4 , G1 ," $3,564,200 ",6/30/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2918,32, ,E1, 1873 BATHGATE AVENUE                      ,            ,10457,                         -  ,1,1,"3,852","3,852",1931, 4 , E1 ,                        -   ,12/15/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,7, ,E1, 1880 BATHGATE AVENUE                      ,            ,10457,                         -  ,1,1,"6,520","6,480",1931, 4 , E1 ,                        -   ,1/26/2017
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,7, ,E1, 1880 BATHGATE AVENUE                      ,            ,10457,                         -  ,1,1,"6,520","6,480",1931, 4 , E1 ,                        -   ,7/22/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,10, ,E1, 1888 BATHGATE AVENUE                      ,            ,10457,                         -  ,1,1,"9,240","7,225",1990, 4 , E1 ,                        -   ,1/26/2017
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,10, ,E1, 1888 BATHGATE AVENUE                      ,            ,10457,                         -  ,1,1,"9,240","7,225",1990, 4 , E1 ,                        -   ,7/22/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3031,66, ,E1, 4581 PARK AVENUE                          ,            ,10458,                         -  ,1,1,"5,490","4,984",1912, 4 , E1 ," $800,000 ",2/24/2017
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3034,12, ,E1, 4228 PARK AVENUE                          ,            ,10457,                         -  ,1,1,"8,775","5,980",1925, 4 , E1 ," $1,900,000 ",2/27/2017
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3034,15, ,E1, 4234 PARK AVENUE                          ,            ,10457,                         -  ,1,1,"8,100","7,500",1931, 4 , E1 ,                        -   ,2/27/2017
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2899,49, ,V1, 412 EAST 175 STREET                       ,            ,10457,                         -  ,                         -  ,           -  ,"2,708",                  -  ,0, 4 , V1 ," $305,475 ",6/20/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3028,13, ,V9, 1996 WEBSTER AVENUE                       ,            ,0,                         -  ,                         -  ,           -  ,"5,945",                  -  ,0, 4 , V9 ," $1,200,000 ",10/19/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3028,13, ,V9, WEBSTER AVENUE                            ,            ,0,                         -  ,                         -  ,           -  ,"5,945",                  -  ,0, 4 , V9 ," $813,897 ",5/19/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,2,3048,39, ,D1, 4439 3 AVENUE                             ,            ,10457,133,                         -  ,133,"19,196","161,382",2016, 4 , V1 ,                        -   ,6/30/2016
2,BATHGATE                 ,37  RELIGIOUS FACILITIES                    ,4,2927,6, ,M1, 3752 THIRD AVENUE                         ,            ,10456,                         -  ,1,1,"2,500","7,000",1931, 4 , M1 ," $400,000 ",10/28/2016
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2900,1, ,Z9, 1816 WEBSTER AVENUE                       ,            ,10457,                         -  ,                         -  ,           -  ,"3,082",                  -  ,0, 4 , Z9 ," $300,000 ",11/3/2016
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2909,26, ,Z9, 1893 WASHINGTON AVENUE                    ,            ,10457,                         -  ,                         -  ,           -  ,"2,673",                  -  ,0, 4 , Z9 ," $1,600,000 ",7/6/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,59, ,A5, 1108 EAST 213TH STREET                    ,            ,10469,1,                         -  ,1,"1,494","1,512",1950, 1 , A5 ," $382,000 ",7/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,60, ,A5, 1110 EAST 213 STREET                      ,            ,10469,1,                         -  ,1,"1,614","1,512",1950, 1 , A5 ," $80,000 ",6/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,74, ,A5, 1144 EAST 213                             ,            ,10469,1,                         -  ,1,"1,785","1,018",1945, 1 , A5 ," $325,000 ",1/27/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4710,1, ,A5, 1127 EAST 215 STREET                      ,            ,10469,1,                         -  ,1,"2,759","1,998",1945, 1 , A5 ," $400,000 ",12/8/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,3, ,A2, 3483 MICKLE AVENUE                        ,            ,10469,1,                         -  ,1,"1,918","1,024",1945, 1 , A2 ," $299,000 ",6/17/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,5, ,A2, 3479 MICKLE AVENUE                        ,            ,10469,1,                         -  ,1,"1,918","1,024",1945, 1 , A2 ," $556,247 ",6/6/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,6, ,A2, 3477 MICKLE AVE                           ,            ,10469,1,                         -  ,1,"1,918","1,024",1945, 1 , A2 ," $328,570 ",5/5/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,40, ,S1, 3448 MICKLE AVENUE                        ,            ,10469,1,1,2,"2,465","2,112",1950, 1 , S1 ," $326,000 ",12/20/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,55, ,A9, 3482 MICKLE AVENUE                        ,            ,10469,1,                         -  ,1,"2,662","2,100",1950, 1 , A9 ,                        -   ,9/1/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,16, ,A5, 3337 BOUCK AVENUE                         ,            ,10469,1,                         -  ,1,"1,900","1,254",1940, 1 , A5 ," $350,000 ",12/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,16, ,A5, 3337 BOUCK AVENUE                         ,            ,10469,1,                         -  ,1,"1,900","1,254",1940, 1 , A5 ,                        -   ,6/15/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,20, ,A5, 3329 BOUCK AVENUE                         ,            ,10469,1,                         -  ,1,"1,900","1,254",1940, 1 , A5 ," $317,200 ",1/20/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,89, ,A5, 3319 BOUCK AVENUE                         ,            ,10469,1,                         -  ,1,"1,900","1,254",1940, 1 , A5 ," $340,000 ",3/27/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,12, ,A5, 3363 WILSON AVENUE                        ,            ,10469,1,                         -  ,1,"2,350","1,799",1940, 1 , A5 ," $95,000 ",1/30/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,12, ,A5, 3363 WILSON AVENUE                        ,            ,10469,1,                         -  ,1,"2,350","1,799",1940, 1 , A5 ," $48,550 ",12/9/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,23, ,A5, 3341 WILSON AVENUE                        ,            ,10469,1,                         -  ,1,"1,900","1,738",1940, 1 , A5 ," $305,000 ",4/10/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,35, ,A5, 3313 WILSON AVENUE                        ,            ,10469,1,                         -  ,1,"2,258","2,430",1930, 1 , A5 ," $68,571 ",4/18/2017
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,51, ,A5, 3316 BOUCK AVENUE                         ,            ,10469,1,                         -  ,1,"1,900","1,567",1940, 1 , A5 ," $345,000 ",12/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,67, ,A5, 3346 BOUCK AVE                            ,            ,10469,1,                         -  ,1,"1,900","1,681",1940, 1 , A5 ," $335,000 ",12/5/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,73, ,A5, 1276 GIVAN AVENUE                         ,            ,10469,1,                         -  ,1,"1,728","1,280",1955, 1 , A5 ," $374,000 ",12/15/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,78, ,A5, 1288 GIVAN AVENUE                         ,            ,10469,1,                         -  ,1,"1,908","1,408",1955, 1 , A5 ," $350,000 ",5/27/2016
